ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung,GGF_m2,BUF_m2,UUF_m2,Sealed_m2,GreenSpace_m2,Abbau_Deponie_m2,Acker_Wiese_Weide_m2,Bahn_m2,Fels_m2,Gartenanlage_m2,Gebaeude_m2,Geroell_Sand_m2,Gewaesser_fliessendes_m2,Gewaesser_stehendes_m2,Gletscher_Firn_m2,Hoch_Flachmoor_m2,Reben_m2,Strasse_Weg_m2,Trottoir_m2,Verkehrsinsel_m2,Wasserbecken_m2,Wytweide_dicht_m2,Wytweide_offen_m2,geschlossener_Wald_m2,uebrige_Intensivkultur_m2,uebrige_befestigte_m2,uebrige_bestockte_m2,uebrige_humusierte_m2,uebrige_vegetationslose_m2
TEST-00923,CH393378522712,1598,3733.0,EGRID found in AV,756.0,755.6180459937043,,0.0,755.6180459937042,0.0,0.0,755.6180459937042,0.0,755.6180459937042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00821,CH587356328320,616,4235.0,EGRID found in AV,1714.0,1713.9558244968705,,631.7219534993801,1082.2338710027775,0.0,1413.3957094904324,300.56011501172526,0.0,0.0,0.0,0.0,300.56011501172526,631.7219534993801,0.0,0.0,0.0,0.0,0.0,0.0,0.016993501634784636,0.004906054870531973,0.0,0.0,0.0,0.0,0.0,0.0,781.651856434547,0.0,0.0,0.0
TEST-00430,CH289952301317,14723,6248.0,EGRID found in AV,19.0,19.44341900064831,,0.0,19.44341900064831,0.0,0.0,19.44341900064831,0.0,0.0,0.0,0.0,19.44341900064831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00157,CH795214763058,1143,6009.0,EGRID found in AV,3598.0,3598.1155110110567,,0.0,3598.115511011056,0.0,0.0,3598.115511011056,0.0,3598.115511011056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00881,CH838077298450,50806,4566.0,EGRID found in AV,1144.0,1144.3443339959865,,161.66438949604407,982.6799444999422,0.0,161.66438949604407,982.6799444999422,0.0,0.0,0.0,0.0,982.6799444999422,161.66438949604407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00536,CH140217778490,1540,97.0,EGRID found in AV,778.0,778.0327649987901,,104.08322599883498,673.9487461477578,0.0,139.4580763729457,638.5738957736471,0.0,0.0,0.0,0.0,638.5738957736471,104.08322599883498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.37485037411072,0.0,0.0,0.0
TEST-00707,CH667717883775,132,3781.0,EGRID found in AV,4367.0,4366.613978488591,,0.0,4366.61397850355,0.0,2903.024587168277,1463.5893913352736,0.0,1061.8331855526117,0.0,0.0,110.68332067566777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.2521051813183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.77248198695831,0.0,291.0728851069942,0.0
TEST-00040,CH351502800784,735,5050.0,EGRID found in AV,1386.0,1382.5028120104555,,0.0,0.0,1382.5028120104557,0.0,1382.5028120104557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.5028120104557,0.0,0.0,0.0,0.0,0.0
TEST-00414,CH467722990696,515,4721.0,EGRID found in AV,2023.0,2023.0509119955996,,0.0,1785.0728700416903,237.97804195390822,0.0,1785.0728700416903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.97804195390822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.0728700416903,0.0
TEST-00685,CH443546496209,2463,726.0,EGRID found in AV,3948.0,3948.424978494966,,0.0,1876.5014899328412,2071.923488566444,0.0,3948.4249784992853,0.0,1876.5014899328412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071.923488566444,0.0,0.0,0.0,0.0,0.0
