ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00804,CH587546350033,2760,942.0,EGRID in AV gefunden,1001.0,1001.0098284982269,
TEST-00371,CH308006313281,1023,2578.0,EGRID in AV gefunden,901.0,901.0034910004666,
TEST-00440,CH849199709420,WI3238,261.0,EGRID in AV gefunden,278.0,277.8772279962137,
TEST-00287,CH534643352460,1517,353.0,EGRID in AV gefunden,234.0,234.29399449939763,
TEST-00816,CH332277998523,5455,4781.0,EGRID in AV gefunden,5696.0,5695.7267219843625,
TEST-00861,CH565252304850,4773,6218.0,EGRID in AV gefunden,788.0,788.3311619972852,
TEST-00978,CH347676709016,,,EGRID fehlt oder nicht in AV,,,Nicht existierende EGRID (Testfall)
TEST-00031,CH188632067114,319,2550.0,EGRID in AV gefunden,3455.0,3455.2523769975746,
TEST-00130,CH513552463308,1810,309.0,EGRID in AV gefunden,1287.0,1287.0179014985401,
TEST-00743,CH213530467572,1085,632.0,EGRID in AV gefunden,129.0,128.60478650057937,
TEST-00588,CH455946153588,511,959.0,EGRID in AV gefunden,799.0,799.5892914973027,
TEST-00466,CH676680917763,10987,6076.0,EGRID in AV gefunden,394.0,393.7850555079992,
TEST-00590,CH405230015275,2097,6214.0,EGRID in AV gefunden,198.0,197.59798000014607,
TEST-00299,CH907993215303,652,1347.0,EGRID in AV gefunden,973.0,973.1822034910783,
TEST-00638,CH968002070808,2067,5003.0,EGRID in AV gefunden,1175.0,1174.9450280002186,
TEST-00626,CH798317719517,393,4047.0,EGRID in AV gefunden,380.0,380.12138699938055,
TEST-00376,CH950967771144,7932,199.0,EGRID in AV gefunden,8319.0,8318.762194988683,
TEST-00837,CH916790897250,2180,2701.0,EGRID in AV gefunden,341.0,340.58382999973503,
TEST-00457,CH476577953917,2719,3274.0,EGRID in AV gefunden,1598.0,1598.0512679971748,
TEST-00908,CH229478678923,97,4125.0,EGRID in AV gefunden,607.0,607.2913024956813,
TEST-00022,CH480746354713,380,321.0,EGRID in AV gefunden,928.0,927.5656085163454,
TEST-00855,CH542666777538,8391,3618.0,EGRID in AV gefunden,77.0,77.02899800020668,
TEST-00714,CH768910946624,6405,2275.0,EGRID in AV gefunden,3733.0,3733.4573249880623,
TEST-00513,CH267786632961,764,4506.0,EGRID in AV gefunden,892.0,892.4379275023658,
TEST-00319,CH120273020750,2239,5266.0,EGRID in AV gefunden,264.0,261.74143899645424,
TEST-00182,CH938307950855,3618,4040.0,EGRID in AV gefunden,353.0,353.39973699590195,
TEST-00298,CH127889999101,AR6778,261.0,EGRID in AV gefunden,504.0,504.00286850294646,
TEST-00995,CH211582668970,1594,4309.0,EGRID in AV gefunden,858.0,857.8640479995413,
TEST-00635,CH524442463563,2369,309.0,EGRID in AV gefunden,75625.0,75625.1154404718,
TEST-00951,CH973989897634,197,4139.0,EGRID in AV gefunden,652.0,651.8117475004649,
TEST-00971,CH796420530787,,,EGRID fehlt oder nicht in AV,,,Nicht existierende EGRID (Testfall)
TEST-00677,CH743546259345,143,585.0,EGRID in AV gefunden,4395.0,4395.278598007038,
TEST-00108,CH891877722504,1396,24.0,EGRID in AV gefunden,354.0,354.2089694971289,
