ID,EGRID
1086/3498/3,0000000000
1086/3498/4,0000000000
1086/3500/1,0000000000
1086/3500/2,0000000000
1086/3501/1,0000000000
1086/3501/2,0000000000
1086/3504/1,0000000000
1086/3504/2,0000000000
1086/3504/3,0000000000
1086/3506/1,0000000000
1086/3510/1,0000000000
1086/3510/2,0000000000
1086/3512/1,0000000000
1086/3512/2,0000000000
1086/3513/1,0000000000
1086/3514/1,0000000000
1086/3520/1,0000000000
1086/3520/2,0000000000
1086/3520/3,0000000000
1086/3520/4,0000000000
1086/3520/5,0000000000
1086/3522/1,0000000000
1086/3522/2,0000000000
1086/3522/3,0000000000
1086/3522/4,0000000000
1086/3522/5,0000000000
1086/3526/1,0000000000
1086/3526/3,0000000000
1086/3526/5,0000000000
1086/3528/1,0000000000
1086/3529/1,0000000000
1086/3530/1,0000000000
1086/3530/2,0000000000
1086/3531/1,0000000000
1086/3531/2,0000000000
1086/3533/2,0000000000
1086/3535/1,0000000000
1086/3535/2,0000000000
1086/3535/3,0000000000
1086/3536/1,0000000000
1086/3538/1,0000000000
1086/3538/2,0000000000
1086/3539/1,0000000000
1086/3539/2,0000000000
1086/3541/1,0000000000
1086/3542/1,0000000000
1086/3554/1,CH867728899343
1086/3554/2,CH692877848990
1086/3587/1,CH487967890390
1086/3631/1,0000000000
1086/3631/2,0000000000
1086/3632/1,0000000000
1086/3660/1,CH693678904090
1086/3660/2,CH807840793693
1086/3660/3,CH407840893605
1086/3660/4,CH733677404418
1086/3660/5,CH167736404615
1086/3660/6,CH154636774052
1086/3660/7,CH133677404626
1086/3660/8,CH233678408442
1086/3660/9,CH144036774695
1086/3660/10,
1086/3660/11,CH385836407773
1086/3660/12,CH574077413647
1086/3662/1,
1086/3663/1,CH833677405174
1086/3663/2,CH233677405877
1086/3663/3,CH427882364008
1086/3663/4,CH944036774914
1086/3664/1,CH688999917961
1086/3664/2,CH949199798070
1086/3664/3,CH207991809936
1086/3664/4,0000000000
1086/3665/1,CH374679970787
1086/3666/1,CH358507794653
1086/3667/1,CH385599917023
1086/3680/1,0000000000
1086/3680/2,0000000000
1086/3680/3,0000000000
1086/3680/4,0000000000
1086/3681/2,0000000000
1086/3681/3,0000000000
1086/3682/1,0000000000
1086/3682/2,0000000000
1086/3683/1,0000000000
1086/3683/2,0000000000
1086/3685/1,0000000000
1086/3686/1,0000000000
1086/3686/2,0000000000
1086/3686/3,0000000000
1086/3692/1,0000000000
1086/3692/2,0000000000
1086/3695/1,0000000000
1086/3696/1,0000000000
1086/3696/2,0000000000
1086/3697/1,0000000000
1086/3699/3,0000000000
1086/3703/2,0000000000
1086/3704/1,0000000000
1086/3704/2,0000000000
1086/3705/1,0000000000
1086/3707/1,0000000000
1086/3710/1,0000000000
1086/3711/1,0000000000
1086/3711/3,0000000000
1086/3712/2,0000000000
1086/3713/1,0000000000
1086/3713/3,0000000000
1086/3713/4,0000000000
1086/3713/5,0000000000
1086/3714/1,0000000000
1086/3714/2,0000000000
1086/3715/1,0000000000
1086/3715/2,0000000000
1086/3761/1,0000000000
1086/3761/2,0000000000
1086/3782/1,CH607790840743
1086/3782/2,CH588307907723
1086/3782/3,CH627784079083
1086/3791/1,0000000000
1086/3792/1,0000000000
1086/3793/1,0000000000
1086/3794/1,0000000000
1086/3795/1,0000000000
1086/3795/2,0000000000
1086/3795/3,0000000000
1086/3795/4,0000000000
1086/3796/1,0000000000
1086/3796/2,0000000000
1086/3797/1,0000000000
1086/3798/2,0000000000
1086/3799/1,0000000000
1086/3799/2,0000000000
1086/3800/1,0000000000
1086/3800/2,0000000000
1086/3801/1,0000000000
1086/3804/1,0000000000
1086/3805/1,0000000000
1086/3805/2,0000000000
1086/3805/3,0000000000
1086/3805/4,0000000000
1086/3807/1,0000000000
1086/3808/1,0000000000
1086/3808/2,0000000000
1086/3809/1,0000000000
1086/3809/2,0000000000
1086/3809/3,0000000000
1086/3810/1,0000000000
1086/3810/2,0000000000
1086/3810/3,0000000000
1086/3811/1,0000000000
1086/3811/2,0000000000
1086/3811/3,0000000000
1086/3812/2,0000000000
1086/3812/3,0000000000
1086/3812/4,0000000000
1086/3812/5,0000000000
1086/3812/6,0000000000
1086/3813/3,CH896676891534
1086/3815/1,0000000000
1086/3815/2,CH207753720466
1086/3815/3,CH430477537244
1086/3815/4,CH315374047756
1086/3816/1,CH160066157131
1086/3816/2,CH641566008042
1086/3816/3,CH257166001508
1086/3825/1,CH467794969349
1086/3837/1,CH615999397744
1086/3846/1,CH999477719681
1086/3849/1,CH367791567752
1086/3849/2,CH767791565139
1086/3849/3,CH845691774397
1086/3849/4,CH707756519139
1086/3853/1,CH687774917829
1086/3855/1,CH919676947752
1086/3855/4,0000000000
1086/3862/1,CH578877711738
1086/3868/1,CH651917778855
1086/3868/2,CH867745187722
1086/3868/3,CH171877774578
